sentence,label,intent
list the nonstop flights early tuesday morning from Chennai to Berlin,O O O O O O O O origin O destination,flight
what airline is the flight originating in Krabi on november seventh at noon and arriving in Kuala Lumpur at _D_ pm,O O O O O O O origin O O O O O O O O destination destination O O O,other
how many first class flights does delta airlines have,O O O O O O O O O,other
find me the weather forecast for Manila,O O O O O O location,weather
weather in Brussels,O O location,weather
is it raining in Moscow,O O O O location,weather
what kind of ground transportation can you offer me in seattle,O O O O O O O O O O O,other
Los Angeles humidity,location location O,weather
rain or sunny Tokyo,O O O location,weather
i would like to leave thursday morning from Zurich to Kraków,O O O O O O O O origin O destination,flight
list delta flights from London to Lima with aircraft type,O O O O origin O destination O O O,flight
Muğla temperature,location O,weather
is it raining in Dubai,O O O O location,weather
what flights are there from Barcelona to Las Vegas on saturday,O O O O O origin O destination destination O O,flight
if I am going to Abu Dhabi should I bring umbrella,O O O O O location location O O O O,weather
please find all the flights from Toronto to any airport in the Delhi area that arrive next saturday before _D_ pm,O O O O O O origin O O O O O destination O O O O O O O O,flight
what 's the next smallest plane after a turboprop,O O O O O O O O O,other
rain jacket needed in Manama now,O O O O location O,weather
do you have a flight from Shenzhen to Lima next tuesday,O O O O O O origin O destination O O,flight
is it raining in Dublin,O O O O location,weather
what does the meal code s stand for,O O O O O O O O,other
what 's the price of the least expensive first class round trip ticket on us air from Pattaya to Muğla,O O O O O O O O O O O O O O O O O origin O destination,other
i 'd like to book two flights to Riyadh,O O O O O O O O destination,flight
what 's the cheapest round trip flight on twa from Lima to Manila,O O O O O O O O O O origin O destination,flight
rain or sunny Paris,O O O location,weather
may I know the weather in Sydney,O O O O O O location,weather
could i have listings of flights from Agra to Orlando canada leaving on wednesday,O O O O O O O origin O destination O O O O,flight
do I need to bring umbrella to Dublin today,O O O O O O O location O,weather
could you tell me the flights leaving Vancouver around midnight for Amsterdam,O O O O O O O origin O O O destination,flight
list delta flights from Shanghai to Toronto with aircraft type,O O O O origin O destination O O O,flight
ground transportation philadelphia,O O O,other
what type of aircraft is used on american airline flight _D_,O O O O O O O O O O O,other
i 'd like the earliest flight from Rome to East Province,O O O O O O O origin O destination destination,flight
what does ap_D_ mean,O O O O,other
what is the earliest flight that eastern has between Prague and Istanbul,O O O O O O O O O origin O destination,flight
list all daily flights between Amsterdam and as well as Amsterdam and using american airline,O O O O O origin O O O O origin O O O O,flight
list all the airlines flying between Moscow and Punta Cana,O O O O O O origin O destination destination,other
will it rain today in Zhuhai,O O O O O location,weather
what is mci,O O O,other
city humidity,location O,weather
show me flights Kiev to Dubai on wednesday,O O O origin O destination O O,flight
weather in Buenos Aires,O O location location,weather
do I need to bring umbrella to Buenos Aires today,O O O O O O O location location O,weather
do I need to bring umbrella to Siem Reap today,O O O O O O O location location O,weather
how much is a limousine service in la guardia,O O O O O O O O O,other
give me the continental flights from Mecca to Agra on saturday morning,O O O O O O origin O destination O O O,flight
list nonstop flights from Orlando to Edirne which arrive on monday after _D_ pm,O O O O origin O destination O O O O O O O,flight
is it going to be sunny in Abu Dhabi,O O O O O O O location location,weather
show fares and flights from Sydney to Sousse,O O O O O origin O destination,other
i would like to know the types of ground transportation from the airport to las vegas,O O O O O O O O O O O O O O O O,other
rain or sunny Rome,O O O location,weather
i 'd like to travel from Honolulu to Chennai next wednesday,O O O O O O origin O destination O O,flight
on friday i need to see all flights that leave Delhi and arrive in Prague before _D_ pm,O O O O O O O O O O origin O O O destination O O O,flight
which flights are available on april twenty first in the morning from Guangzhou to Cairo,O O O O O O O O O O O O origin O destination,flight
what airlines have flights from Djerba to Tokyo,O O O O O origin O destination,other
East Province weather,location location O,weather
rain or sunny Artvin,O O O location,weather
what 's the weather like in Lima,O O O O O O location,weather
is it going to be sunny in Brussels,O O O O O O O location,weather
weather in Dublin,O O location,weather
weather in Shanghai,O O location,weather
Sofia weather,location O,weather
what is the cheapest ticket from Moscow to Muğla on friday august thirtieth,O O O O O O origin O destination O O O O,other
Chennai temperature,location O,weather
give me a list of all the flights from Guilin to Madrid or Guilin to Madrid or Guilin to Madrid,O O O O O O O O O origin O destination O origin O destination O origin O destination,flight
tell me about the m_D_ aircraft,O O O O O O,other
show me the type of aircraft that cp uses,O O O O O O O O O,other
will it rain today in Moscow,O O O O O location,weather
what flights are available from Moscow to Zhuhai on april twenty first in the late afternoon,O O O O O origin O destination O O O O O O O O,flight
temperature in Paris,O O location,weather
Burgas weather,location O,weather
Berlin weather,location O,weather
I wonder how it feels today in Lima,O O O O O O O location,weather
Sofia temperature,location O,weather
tell me all the airports near westchester county,O O O O O O O O,other
okay could you tell me what flight leaves Kraków to Antalya by united airline,O O O O O O O O origin O destination O O O,flight
what flights are available from Vienna to Jakarta,O O O O O origin O destination,flight
rain or sunny Riyadh,O O O location,weather
how much does it cost to fly on delta from Macau to Guilin,O O O O O O O O O O origin O destination,other
weather in Bucharest,O O location,weather
what are the flights from Abu Dhabi to Venice in the afternoon,O O O O O origin origin O destination O O O,flight
what flights from Nice to Burgas on saturday,O O O origin O destination O O,flight
what are the flights from Bangkok to Frankfurt returning on tuesday july thirteenth,O O O O O origin O destination O O O O O,flight
can i get a taxi from Burgas Burgas airport to downtown Burgas Burgas,O O O O O O origin origin O O O origin origin,other
which united airlines flight flies across this continent and leaves from Honolulu goes to Brussels and makes a stopover in philadelphia,O O O O O O O O O O O origin O O destination O O O O O O,flight
show me ground transportation in fort worth,O O O O O O O,other
please list all the flights from Toronto to Sofia on june seventeenth,O O O O O O origin O destination O O O,flight
show me the flights from Denpasar to Moscow and the flights from Denpasar to Moscow,O O O O O origin O destination O O O O origin O destination,flight
Frankfurt temperature,location O,weather
i 'd like the first flight in the morning from Doha to Munich,O O O O O O O O O O origin O destination,flight
okay on tuesday june first i 'd like to go from Los Angeles to Mexico City in the late afternoon,O O O O O O O O O O O origin origin O destination destination O O O O,flight
temperature in Sharjah,O O location,weather
rain jacket needed in Buenos Aires now,O O O O location location O,weather
Denpasar weather,location O,weather
what is the airfare from city to Jaipur,O O O O O origin O destination,other
list flights from Taipei to Kiev in the morning,O O O origin O destination O O O,flight
if I am going to Shenzhen should I bring umbrella,O O O O O location O O O O,weather
is it hot in Pattaya,O O O O location,weather
rain or sunny Amsterdam,O O O location,weather
can you show me the cheapest round trip flights between Moscow and Burgas,O O O O O O O O O O origin O destination,flight
Berlin weather,location O,weather
is it raining in Amman,O O O O location,weather
do I need to bring umbrella to Amman today,O O O O O O O location O,weather
what does the fare code qw mean,O O O O O O O,other
what 's the weather like in Berlin,O O O O O O location,weather
list the flights from Sofia to Bucharest on june sixth after _D_ pm,O O O O origin O destination O O O O O O,flight
list flights from Phuket to Dubai on thursday morning nonstop,O O O origin O destination O O O O,flight
what 's the difference between fare code q and fare code f,O O O O O O O O O O O O,other
what 's the weather like in Zhuhai,O O O O O O location,weather
how many first class flights does delta airlines have,O O O O O O O O O,other
now show me ground transportation in houston on monday afternoon,O O O O O O O O O O,other
if I am going to Milan should I bring umbrella,O O O O O location O O O O,weather
please show ground transportation to milwaukee,O O O O O O,other
what 's the weather like in Pattaya,O O O O O O location,weather
explain meal codes sd Siem Reap,O O O O destination destination,other
find me the weather in San Francisco,O O O O O location location,weather
I wonder how it feels today in Warsaw,O O O O O O O location,weather
explain restriction ap_D_,O O O,other
Jakarta weather,location O,weather
please show me the return flight number from Burgas to Mumbai,O O O O O O O O origin O destination,other
i want to fly from Amsterdam to Nice,O O O O O origin O destination,flight
Siem Reap weather,location location O,weather
on friday i need to see all flights that leave Guangzhou and arrive in Zurich before _D_ pm,O O O O O O O O O O origin O O O destination O O O,flight
i need a flight from Buenos Aires to Kuala Lumpur nonstop arriving at _D_ pm please,O O O O O origin origin O destination destination O O O O O O,flight
find me the weather forecast for Hangzhou,O O O O O O location,weather
show me about the ground transportation in boston,O O O O O O O O,other
rain jacket needed in Seoul now,O O O O location O,weather
what price is a limousine service to Kiev la guardia,O O O O O O O origin O O,other
please inform me the type of aircraft used on a flight from Johannesburg to Manama before _D_ o'clock noon,O O O O O O O O O O O O origin O destination O O O O,other
Amman weather,location O,weather
i 'd like to find the cheapest one way fare from Chennai to Siem Reap,O O O O O O O O O O O origin O destination destination,other
what are the cities served by delta airlines,O O O O O O O O,other
list all nonstop flights from Chiang Mai to Buenos Aires before _D_ pm on tuesday,O O O O O origin origin O destination destination O O O O O,flight
what times on wednesday could i take a plane from Toronto to Manama,O O O O O O O O O O origin O destination,other
what 's the weather like in Kraków,O O O O O O location,weather
find me the weather forecast for Amman,O O O O O O location,weather
weather in Sousse,O O location,weather
do I need to bring umbrella to Orlando today,O O O O O O O location O,weather
is it hot in Venice,O O O O location,weather
how many cities are served by continental with first class flights,O O O O O O O O O O O,other
will it rain today in Nairobi,O O O O O location,weather
what do you have going from country to Amsterdam serving breakfast,O O O O O O origin O destination O O,flight
please show me all fares for flights from Florence to country,O O O O O O O O origin O destination,other
i need to find a flight from Mexico City to Macau that has a stopover in dallas,O O O O O O O origin origin O destination O O O O O O,flight
list the flights arriving in Taipei from Munich before noon on august fourth,O O O O O destination O origin O O O O O,flight
are there any flights before _D_ noon on june fifteenth from Kuala Lumpur to Burgas,O O O O O O O O O O O origin origin O destination,flight
will Brussels be hot,O location O O,weather
i need to get downtown from the denver airport,O O O O O O O O O,other
please list all flights on united airlines and northwest airlines that go into Riyadh and all flights on northwest airlines and united airlines that fly out of Krabi,O O O O O O O O O O O O O destination O O O O O O O O O O O O O origin,flight
what 's the ground transportation from Guangzhou to London,O O O O O O origin O destination,other
i would like information on ground transportation in the city of atlanta from airport to downtown,O O O O O O O O O O O O O O O O,other
Sydney humidity,location O,weather
do I need to bring umbrella to Abu Dhabi today,O O O O O O O location location O,weather
do you have a flight from Dubai to Mumbai north carolina next monday,O O O O O O origin O destination O O O O,flight
show me airline abbreviations,O O O O,other
does any airline have an early afternoon flight from Berlin to Chiang Mai,O O O O O O O O O origin O destination destination,other
show me boston ground transportation,O O O O O,other
please give me a list of all the flights between Denpasar and Siem Reap and their cost,O O O O O O O O O O origin O destination destination O O O,other
Zhuhai humidity,location O,weather
how long will it rain in Hangzhou,O O O O O O location,weather
do you fly a _D_ from Taipei to Phuket,O O O O O O origin O destination,flight
what flights leave Phuket for Hangzhou and depart before noon on american airlines,O O O origin O destination O O O O O O O,flight
I wonder how it feels today in Chiang Mai,O O O O O O O location location,weather
current weather in Antalya,O O O location,weather
may I know the weather in Chennai,O O O O O O location,weather
which flights are there on tuesday from Milan to Guangzhou,O O O O O O O origin O destination,flight
show me all connecting flights on united airlines between Cairo and Singapore,O O O O O O O O O origin O destination,flight
show me ground transportation in denver during weekdays,O O O O O O O O,other
please list information regarding san francisco airport,O O O O O O O,other
what is the distance from la guardia to Melbourne downtown,O O O O O O O O destination O,other
show me the list of flights between Moscow and Munich that leave in the afternoon,O O O O O O O origin O destination O O O O O,flight
what type of aircraft flies from Las Vegas to Muğla,O O O O O O origin origin O destination,other
tell me about ground transportation between orlando international and Honolulu,O O O O O O O O O destination,other
which cities are serviced by both american and delta airlines,O O O O O O O O O O,other
all flights from Madrid to Jaipur,O O O origin O destination,flight
what is the airfare between London and Mexico City,O O O O O origin O destination destination,other
can you show me one way economy fares from Seoul to Zhuhai,O O O O O O O O O origin O destination,other
please tell me how many nonstop flights there are from Zhuhai to Paris,O O O O O O O O O O origin O destination,other
i would like to make a reservation for a flight to Burgas from city on this coming sunday,O O O O O O O O O O O destination O origin O O O O,flight
Warsaw humidity,location O,weather
show me all flights from Tokyo to Mexico City which arrive before _D_ o'clock am on wednesday,O O O O O origin O destination destination O O O O O O O O,flight
i would like to book a flight that goes from Hong Kong to Rome,O O O O O O O O O O origin origin O destination,flight
find me the weather forecast for Shanghai,O O O O O O location,weather
list the flights from Shanghai to Brussels on american airlines,O O O O origin O destination O O O,flight
rain or sunny Sharjah,O O O location,weather
I want to know if it will rain in Orlando,O O O O O O O O O location,weather
please list flights from Chiang Mai to Toronto,O O O O origin origin O destination,flight
show me all the flights that go from Zurich to Djerba,O O O O O O O O origin O destination,flight
is it hot in Lisbon,O O O O location,weather
july seventh what is the cost of a round trip ticket traveling first class on united airlines leaving from Madrid going to Istanbul,O O O O O O O O O O O O O O O O O O O origin O O destination,other
will it rain today in Djerba,O O O O O location,weather
is it hot in Shenzhen,O O O O location,weather
does any airline have an afternoon flight from Orlando to Budapest,O O O O O O O O origin O destination,other
is it going to be sunny in Cancún,O O O O O O O location,weather
if I am going to San Francisco should I bring umbrella,O O O O O location location O O O O,weather
show me flights from Hong Kong to Denpasar on friday leaving after _D_ noon,O O O O origin origin O destination O O O O O O,flight
please list the flight times from Melbourne to Shanghai,O O O O O O origin O destination,other
give me the saturday morning flights from Nairobi to Mecca on continental that have meals,O O O O O O O origin O destination O O O O O,flight
Barcelona temperature,location O,weather
i would like information on flights from Cancún to Rome california on friday afternoon,O O O O O O O origin O destination O O O O,flight
what does fare code qo mean,O O O O O O,other
I wonder how it feels today in Sofia,O O O O O O O location,weather
i would like to find a flight from Sofia to Los Angeles that makes a stop in st. louis,O O O O O O O O origin O destination destination O O O O O O O,flight
i need a flight from Djerba to Phuket stopping in dallas the flight should also serve lunch,O O O O O origin O destination O O O O O O O O O,flight
will Lima be hot,O location O O,weather
show me round trip fares from Denpasar to Seoul nonstop,O O O O O O origin O destination O,other
find me the weather forecast for Nairobi,O O O O O O location,weather
is it raining in Jaipur,O O O O location,weather
list flights from Brussels to Los Angeles friday am,O O O origin O destination destination O O,flight
how long will it rain in Las Vegas,O O O O O O location location,weather
what is fare code y mean,O O O O O O,other
find me the weather in Prague,O O O O O location,weather
what flights from Chiang Mai to Amman on friday with a meal,O O O origin origin O destination O O O O O,flight
how long will it rain in Doha,O O O O O O location,weather
Zhuhai weather,location O,weather
what ground transportation is available at denver airport,O O O O O O O O,other
show me ground transportation information for san francisco,O O O O O O O O,other
how long will it rain in Jakarta,O O O O O O location,weather
show me all first class fares from Melbourne to Istanbul leaving on a tuesday,O O O O O O O origin O destination O O O O,other
what 's fare code yn,O O O O O,other
I wonder how it feels today in Hong Kong,O O O O O O O location location,weather
rain jacket needed in Hangzhou now,O O O O location O,weather
what is the cheapest flight from Amsterdam to Mecca one way,O O O O O O origin O destination O O,flight
rain or sunny Amsterdam,O O O location,weather
does american airlines fly to Nice from Los Angeles,O O O O O destination O origin origin,flight
what kind of airplanes are used by delta airlines flying between Munich and East Province,O O O O O O O O O O O origin O destination destination,other
tell me about flights leaving from Punta Cana and going to Brussels north carolina next monday i need to know about flights that arrive in Brussels between _D_ and _D_ pm,O O O O O O origin origin O O O destination O O O O O O O O O O O O O destination O O O O O,flight
Shanghai weather,location O,weather
do I need to bring umbrella to Warsaw today,O O O O O O O location O,weather
i 'd like to make a round trip from Honolulu to Orlando by way of charlotte,O O O O O O O O O origin O destination O O O O,flight
i 'd like information on a flight from Lisbon to Rome on united air,O O O O O O O O origin O destination O O O,flight
find me the weather in Nice,O O O O O location,weather
show me the flights from Los Angeles to Bangkok,O O O O O origin origin O destination,flight
what kind of airplane goes from Kraków to Abu Dhabi monday stopping in dallas in the afternoon first class flight,O O O O O O origin O destination destination O O O O O O O O O O,other
i 'd like a flight from Cairo to Shenzhen stopping in cincinnati and serving dinner what 's available,O O O O O O origin O destination O O O O O O O O O,flight
list the nonstop flights early tuesday morning from Doha to Bucharest,O O O O O O O O origin O destination,flight
current weather in Burgas,O O O location,weather
may I know the weather in Taipei,O O O O O O location,weather
now i need another flight from Hong Kong to Kuala Lumpur arriving also in the late afternoon what 's available for that,O O O O O O origin origin O destination destination O O O O O O O O O O O,flight
show me all daily flights between Krabi and Mexico City,O O O O O O origin O destination destination,flight
give me the flights from Mexico City to Sharjah nonstop,O O O O O origin origin O destination O,flight
round trip fares from Miami to Krabi less than _D_ dollars,O O O O origin O destination O O O O,other
to what cities from Siem Reap does america west fly first class,O O O O origin origin O O O O O O,other
rain or sunny Moscow,O O O location,weather
current weather in Vienna,O O O location,weather
can you tell me what aircraft is used for delta flight _D_ from Shenzhen to Phuket,O O O O O O O O O O O O O origin O destination,other
i 'd like to find a flight from Hong Kong to Kiev that makes a stop in new york,O O O O O O O O origin origin O destination O O O O O O O,flight
what 's the weather like in Agra,O O O O O O location,weather
what 's the weather like in Phuket,O O O O O O location,weather
list airports in new york,O O O O O,other
show flights from Hanoi to Barcelona on us airlines with fare information,O O O origin O destination O O O O O O,flight
is it hot in Melbourne,O O O O location,weather
i 'd like to have some information on a ticket from Hangzhou to Antalya with a stop in pittsburgh,O O O O O O O O O O O origin O destination O O O O O,other
is there ground transportation from the atlanta airport to downtown Singapore,O O O O O O O O O O destination,other
which flights are there on tuesday from London to Amsterdam,O O O O O O O origin O destination,flight
show me the flights from Doha new jersey to ontario international next saturday,O O O O O origin O O O O O O O,flight
could you please give me the cost of a round trip flight from Vienna to Manama,O O O O O O O O O O O O O origin O destination,other
list all round trip fares from Sousse to Hangzhou,O O O O O O origin O destination,other
what 's the weather like in Paris,O O O O O O location,weather
rain jacket needed in Berlin now,O O O O location O,weather
is it hot in country,O O O O location,weather
hello i 'd like a delta flight from Moscow to Kiev,O O O O O O O O origin O destination,flight
what are the flights from Mexico City to Hangzhou in the afternoon,O O O O O origin origin O destination O O O,flight
is it raining in Nice,O O O O location,weather
how long will it rain in Manama,O O O O O O location,weather
how many stops are on all flights from Johannesburg to Cairo that depart before _D_ o'clock noon,O O O O O O O O origin O destination O O O O O O,other
could i have flight information on flights from Lisbon to Hangzhou please,O O O O O O O O origin O destination O,flight
how long will it rain in Burgas,O O O O O O location,weather
Siem Reap humidity,location location O,weather
show me all the one way fares from Mumbai to Nice,O O O O O O O O origin O destination,other
temperature in Prague,O O location,weather
do all the flights to Edirne land at the same place,O O O O O destination O O O O O,flight
how many flights does each airline have with business class service,O O O O O O O O O O O,other
what 's the weather like in Chiang Mai,O O O O O O location location,weather
show me airlines with flights from Moscow to Pattaya please,O O O O O O origin O destination O,other
will Florence be hot,O location O O,weather
what are the fares for flights from Djerba to Frankfurt on tuesday and wednesday,O O O O O O O origin O destination O O O O,other
what planes are used by twa,O O O O O O,other
list all flights from San Francisco to Suzhou on sunday,O O O O origin origin O destination O O,flight
what 's the cheapest one way ticket from Zurich to Warsaw,O O O O O O O O origin O destination,other
if I am going to Moscow should I bring umbrella,O O O O O location O O O O,weather
is it going to be sunny in Los Angeles,O O O O O O O location location,weather
current weather in Vancouver,O O O location,weather
looking for a flight to Singapore,O O O O O destination,flight
tell me about flights leaving from Paris and going to Florence north carolina next monday i need to know about flights that arrive in Florence between _D_ and _D_ pm,O O O O O O origin O O O destination O O O O O O O O O O O O O destination O O O O O,flight
train to newark,O O O,other
what kind of airplane is flight ua _D_ from Zhuhai to Kraków,O O O O O O O O O origin O destination,other
list all flights from Marrakech to Sydney after _D_ o'clock pm on wednesday,O O O O origin O destination O O O O O O,flight
current weather in Delhi,O O O location,weather
rain or sunny Kuala Lumpur,O O O location location,weather
can i go from Lisbon to Frankfurt with a stopover in denver,O O O O origin O destination O O O O O,flight
list daily flights from Zhuhai to Hangzhou,O O O O origin O destination,flight
flights and fares from Sydney to Delhi,O O O O origin O destination,other
give me the fares from Zurich to Manila next sunday,O O O O O origin O destination O O,other
explain restriction ap _D_,O O O O,other
what is the least expensive flight from Bucharest to Macau leaving on october fifth,O O O O O O O origin O destination O O O O,flight
weather in Lisbon,O O location,weather
I want to know if it will rain in Artvin,O O O O O O O O O location,weather
show me all twa flights please,O O O O O O,flight
will Warsaw be hot,O location O O,weather
what is the coach economy class night service from Kuala Lumpur to Istanbul,O O O O O O O O O origin origin O destination,flight
Melbourne to Berlin wednesday,origin O destination O,flight
the most expensive flight between Las Vegas and Dubai,O O O O O origin origin O destination,flight
rain or sunny Madrid,O O O location,weather
i would like information on twa flights from Shanghai to Brussels,O O O O O O O O origin O destination,flight
is there any flight leaving Sydney around _D_ o'clock for Jeju,O O O O O origin O O O O destination,flight
list flights from Jakarta dc to Rome,O O O origin O O destination,flight
find me the weather forecast for Amman,O O O O O O location,weather
show me airlines that have flights between Marrakech and Antalya between Marrakech and Antalya Antalya and between Marrakech Marrakech and Antalya,O O O O O O O origin O destination O origin O destination destination O O origin origin O destination,other
what 's the earliest flight from Punta Cana to Kuala Lumpur on thursday morning,O O O O O O origin origin O destination destination O O O,flight
find me the weather in Taipei,O O O O O location,weather
list flights from Suzhou to Venice,O O O origin O destination,flight
Jaipur temperature,location O,weather
is there ground transportation from lga into new york city,O O O O O O O O O O,other
how long will it rain in Krabi,O O O O O O location,weather
show me all the one way fares from Punta Cana to Antalya,O O O O O O O O origin origin O destination,other
if I am going to Bangkok should I bring umbrella,O O O O O location O O O O,weather
what 's the ground transportation from Djerba to San Francisco,O O O O O O origin O destination destination,other
looking for a flight to Krabi,O O O O O destination,flight
what is the price of business class from country to Las Vegas on twa,O O O O O O O O origin O destination destination O O,other
list all of the daily flights arriving in city between _D_ and _D_ pm,O O O O O O O O destination O O O O O,flight
show me the cities served by nationair,O O O O O O O,other
Florence temperature,location O,weather
what first class airplane goes from Bangkok to Guilin and stops in dallas in the afternoon on monday,O O O O O O origin O destination O O O O O O O O O,other
what does ewr mean,O O O O,other
which airlines go from Macau to Madrid by way of indianapolis,O O O O origin O destination O O O O,other
may I know the weather in Vancouver,O O O O O O location,weather
how much is a limousine between dallas fort worth international airport and Honolulu,O O O O O O O O O O O O destination,other
Amsterdam temperature,location O,weather
flying from Burgas to Edirne on us air,O O origin O destination O O O,flight
I wonder how it feels today in Abu Dhabi,O O O O O O O location location,weather
what are the seating capacities of planes between Berlin and Kiev,O O O O O O O O origin O destination,other
show me round trip tickets from Jeju to Zhuhai,O O O O O O origin O destination,other
show me all the flights from Jakarta to Djerba on us air,O O O O O O origin O destination O O O,flight
us _D_ Melbourne to Beijing what is the fare,O O origin O destination O O O O,other
find me the earliest flight from East Province to Lima and the latest return from East Province to Lima within the same day,O O O O O O origin origin O destination O O O O O origin origin O destination O O O O,flight
weather in Kiev,O O location,weather
can i get the shortest flight from Delhi to Seoul,O O O O O O O origin O destination,flight
can i get a taxi from Guilin Guilin airport to downtown Guilin Guilin,O O O O O O origin origin O O O origin origin,other
okay we 're going from London to Shenzhen first class ticket i 'd like to know the cost of a first class ticket,O O O O O origin O destination O O O O O O O O O O O O O O O,other
will Dublin be hot,O location O O,weather
do you have the fare for traveling from oakland airport to Istanbul downtown,O O O O O O O O O O O destination O,other
current weather in Krabi,O O O location,weather
will it rain today in Marrakech,O O O O O location,weather
if I am going to Barcelona should I bring umbrella,O O O O O location O O O O,weather
is it raining in Vienna,O O O O location,weather
in economy class from Marrakech to Sydney arriving july seventh i 'd like to know what 's the cheapest ticket possible,O O O O origin O destination O O O O O O O O O O O O O O,other
ground transportation in baltimore,O O O O,other
temperature in Doha,O O location,weather
weather in Burgas,O O location,weather
okay and on may four i would like to go from Artvin to Krabi leaving early in the morning around _D_,O O O O O O O O O O O origin O destination O O O O O O O,flight
what does ff mean,O O O O,other
i 'd like to know what type of plane flies from Madrid to London after _D_,O O O O O O O O O O O origin O destination O O,other
I wonder how it feels today in Doha,O O O O O O O location,weather
show me all the available flights from Madrid to Abu Dhabi with economy fares,O O O O O O O origin O destination destination O O O,flight
will it rain today in Phuket,O O O O O location,weather
which flights from Shenzhen to Sharjah have the lowest coach class fares,O O O origin O destination O O O O O O,flight
what is the distance from boston airport to Chiang Mai,O O O O O O O O destination destination,other
yes on the delta flight leaving Jaipur at _D_ pm arriving Frankfurt _D_ pm what type of equipment is used on that flight,O O O O O O origin O O O O destination O O O O O O O O O O O,flight
list flights from Vienna to Hanoi on thursday,O O O origin O destination O O,flight
i actually want to go from Lisbon to Kiev via chicago,O O O O O O origin O destination O O,flight
weather in Kraków,O O location,weather
i need a return flight from Seoul to Burgas leaving Seoul around _D_ in the evening on the day following next wednesday,O O O O O O origin O destination O origin O O O O O O O O O O O,flight
Melbourne humidity,location O,weather
what does q mean,O O O O,other
rain jacket needed in East Province now,O O O O location location O,weather
will it rain today in Melbourne,O O O O O location,weather
I wonder how it feels today in Mumbai,O O O O O O O location,weather
is there a twa flight from Lima to Miami,O O O O O O origin O destination,flight
give me the flights from Lima to Chiang Mai on continental that have meals early saturday morning,O O O O O origin O destination destination O O O O O O O O,flight
hi i 'd like to fly from Orlando to Artvin and make a stop in cincinnati along the way,O O O O O O O origin O destination O O O O O O O O O,flight
and now show me ground transportation that i could get in boston late night,O O O O O O O O O O O O O O,other
what flights are available tuesday afternoon from Guilin to Barcelona,O O O O O O O origin O destination,flight
temperature in Vancouver,O O location,weather
Honolulu temperature,location O,weather
are there any early flights from Sydney to Kiev on thursday mornings,O O O O O O origin O destination O O O,flight
how long will it rain in Lima,O O O O O O location,weather
explain fare code qx,O O O O,other
show me the earliest flight on wednesday from Orlando to Mexico City,O O O O O O O O origin O destination destination,flight
current weather in Paris,O O O location,weather
please show me first class flights from Mumbai to Agra one way leaving before _D_ am,O O O O O O O origin O destination O O O O O O,flight
how long will it rain in Honolulu,O O O O O O location,weather
